id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
64,64,False,standby,2024-08-16 12:25:52.462765+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DR2IFF
65,65,False,standby,2024-08-16 12:25:52.469912+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DR2IFF
66,66,False,standby,2024-08-16 12:25:52.476248+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DR2IFF
67,67,False,standby,2024-08-16 12:25:52.482259+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DR2IFF
68,68,False,standby,2024-08-16 12:25:52.489332+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DR2IFF
69,69,False,standby,2024-08-16 12:25:52.496601+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DR2IFF
70,70,False,standby,2024-08-16 12:25:52.503622+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DR2IFF
71,71,False,standby,2024-08-16 12:25:52.509511+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DR1TOT
72,72,False,standby,2024-08-16 12:25:52.514554+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DR1TOT
73,73,False,standby,2024-08-16 12:25:52.520303+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DR1TOT
74,74,False,standby,2024-08-16 12:25:52.525707+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DR1TOT
75,75,False,standby,2024-08-16 12:25:52.531861+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DR1TOT
76,76,False,standby,2024-08-16 12:25:52.536545+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DR1TOT
77,77,False,standby,2024-08-16 12:25:52.541607+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DR1TOT
78,78,False,standby,2024-08-16 12:25:52.549944+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DR1TOT
